tau,label,pca1,pca2
1,0,0.15366077,2.8201666
1,0,0.21893156,1.1657696
1,0,30.79462,-0.618146
1,0,-0.2399463,-1.8036808
1,0,-0.99716616,-2.8640687
1,0,-0.7799825,0.6521989
1,0,-0.9721979,-1.8105986
1,0,-1.5214591,-1.1239051
1,0,1.1526905,-1.9068793
1,0,-1.6365441,-1.4402711
1,0,0.6481887,-0.24500187
1,0,30.342619,-2.0756302
1,0,-0.72470987,-0.48085395
1,0,-0.36172336,1.759388
1,0,28.539503,-2.605761
1,0,-1.1758683,4.269026
1,0,-1.2597842,5.6002016
1,0,27.165674,-5.7561393
1,0,37.356606,3.7791862
1,0,1.3356074,15.493265
1,0,-1.5156174,1.1519371
1,0,-0.18790638,-1.3253785
1,0,2.188107,48.502766
1,0,2.6343236,51.184784
1,0,-2.2891564,-0.24970141
1,0,-1.2491422,-1.6880664
1,0,-2.0903146,-0.22765398
1,0,-0.8762516,5.3644047
1,0,-1.4875786,4.13232
1,0,-0.8333483,-2.4176543
1,0,0.62818074,-2.4042
1,0,-1.529716,-0.65983856
1,0,2.4930534,-0.33119938
1,0,-1.6110657,-0.9273338
1,0,-1.1960067,-2.1742656
1,0,-0.34580594,1.5477551
1,0,0.11118162,1.1731787
1,0,-1.5284517,1.4225006
1,0,-1.4588028,4.15925
1,0,2.6816072,59.6859
1,0,-2.4889307,-0.21269645
1,0,33.457294,6.709958
1,0,1.465269,15.608507
1,0,-0.8106241,4.569981
1,0,4.669952,-0.7057138
1,0,-0.5837139,-1.0937102
1,0,-1.5172447,-1.0832295
1,0,25.934874,-4.3125267
1,0,2.0942812,53.132675
1,0,-1.3838947,-0.66822696
1,0,-1.2520794,-2.3784335
1,0,-0.7454498,-2.0777462
1,0,-1.8173238,-0.26080337
1,0,-1.9812775,-0.49291378
1,0,-0.5021576,-0.32116175
1,0,26.088633,18.496729
1,0,2.2944136,14.664884
1,0,0.55534244,2.0374165
1,0,-1.1808035,5.451
1,0,-1.4642625,4.2245555
1,0,0.4190675,5.8475437
1,0,-1.4578651,-0.5607622
1,0,-1.0242498,3.1638002
1,0,15.1469555,0.8726767
1,0,36.052143,-1.5474365
1,0,-1.3742197,-0.44331914
1,0,-1.4967322,-0.777455
1,0,-2.067077,-0.2035965
1,0,0.99087155,14.968458
1,0,4.3016324,14.976559
1,0,1.2158629,38.79771
1,0,26.708801,-1.7654977
1,0,-1.1637664,-0.38236612
1,0,0.8510618,23.13263
1,0,0.6421528,22.869158
1,0,-0.22758716,-0.59677064
1,0,-1.7348447,-1.7363638
1,0,0.24525046,1.1781181
1,0,0.8332703,2.3179572
1,0,36.23049,-1.7777426
1,0,-0.5274255,3.3892894
1,0,-1.1999265,-0.42759123
1,0,0.09445214,3.5935087
1,0,-2.1776543,-1.6961852
1,0,1.4639624,27.175108
1,0,1.2426571,36.27093
1,0,0.08441651,-2.6100526
1,0,-1.8512251,-0.8117681
1,0,-2.3353615,-0.2412767
1,0,1.450405,15.0316
1,0,2.4014382,14.419892
1,0,28.388544,-4.018143
1,0,-2.069241,-1.4725527
1,0,-0.6088934,-2.604345
1,0,-1.6807652,-1.7879711
1,0,-1.3529129,-1.1260834
1,0,-1.316663,-0.28367072
1,0,1.2745582,3.0657773
1,0,0.11100268,4.823567
1,0,1.3044008,22.401335
1,0,-1.192558,-2.2144735
1,0,-2.3145185,-0.2049392
1,0,-1.3122205,-2.2963793
1,0,23.898773,-4.805343
1,0,-1.7401919,-1.293267
1,0,2.4275012,10.086252
1,0,4.0416117,15.441567
1,0,-0.33036923,0.31039402
1,0,-0.82905096,5.389988
1,0,-2.2903602,-0.24954239
1,0,-0.7081946,-2.4833438
1,0,31.144491,-1.4579232
1,0,-0.21781522,-2.9257667
1,0,3.9055562,14.845957
1,0,2.8047338,12.14688
1,0,-1.2217777,-0.2698016
1,0,36.023975,-2.2323103
1,0,29.028748,-4.6842585
1,0,-0.8495208,4.0305443
1,0,-0.8095685,1.2209672
1,0,25.423306,-3.601365
1,0,4.0892477,-1.6134226
1,0,-0.4325621,0.20471475
1,0,2.3432941,45.43644
1,0,-1.840857,-1.1726855
1,0,-1.2738277,-0.024420373
1,0,-0.87122834,-0.4320694
1,0,-1.3419319,2.5481017
1,0,-0.929243,-1.8500292
1,0,0.60794246,0.30684638
1,0,4.2475305,1.7646073
1,0,1.1975635,35.699688
1,0,23.848827,-4.9869275
1,0,-1.2930394,-0.6239276
1,0,5.95979,15.942083
1,0,-0.015949368,7.7551856
1,0,-0.80126405,2.153047
1,0,31.9663,-0.24821156
1,0,-1.4589319,4.159453
1,0,-1.10728,5.488869
1,0,1.0842472,-3.1524043
1,0,1.324159,22.128418
1,0,-1.188746,-1.4021685
1,0,-1.9556308,-0.47477564
1,0,-1.3166436,-1.156615
1,0,5.0436716,6.83862
1,0,-1.675694,-1.4691007
1,0,-1.3690047,-1.712887
1,0,-1.2692676,0.5323306
1,0,37.198418,2.3966582
1,0,3.032731,9.383607
1,0,-1.0984746,0.8698348
1,0,-1.6963067,-1.4531219
1,0,2.8165507,-0.8181484
1,0,-1.4989865,-1.7454222
1,0,22.909773,-4.4104004
1,0,-1.842073,-1.3275007
1,0,-0.5963912,-3.2729554
1,0,5.43895,-4.085752
1,0,14.659653,-3.6872377
1,0,0.038519382,3.549243
1,0,2.5604043,-3.6834095
1,0,-1.0642962,3.8596542
1,0,-1.0946451,-1.9245727
1,0,-1.1651245,4.170959
1,0,0.41335893,1.1084629
1,0,3.1101813,1.4993855
1,0,1.3185104,22.375818
1,0,2.1211038,9.412246
1,0,-1.8642526,-0.31788328
1,0,0.26671338,0.9819725
1,0,-0.8343953,5.455042
1,0,0.82042956,23.106104
1,0,0.86116135,23.207048
1,0,-1.7292908,-1.4147369
1,0,0.57211983,22.839985
1,0,0.059360266,4.6995254
1,0,1.3465801,22.41001
1,0,-1.728118,-1.0460587
1,0,-1.2273518,-1.1309303
1,0,0.035408974,4.9573746
1,0,1.6613911,1.8692504
1,0,-1.6696523,-1.6242036
1,0,14.090211,-3.6086893
1,0,19.537718,-1.71965
1,0,-1.1097553,-1.6390144
1,0,29.395462,-1.8300805
1,0,-1.7857354,-1.9099796
1,0,-0.91137373,-0.8092534
1,0,-2.6807017,0.014618013
1,0,-1.5386829,-0.88010514
1,0,-0.8235662,5.389091
1,0,-1.4750928,4.2905116
1,0,-0.9216503,-2.1387458
1,0,-1.8643942,-1.952848
1,0,-1.7837763,-1.7401572
1,0,-0.6130847,-1.3336952
1,0,-1.6107327,-0.7578104
1,0,-1.3271849,-0.9996062
1,0,-2.335319,-0.24131474
1,0,-0.3140816,4.078139
1,1,-1.690428,-1.6364822
1,0,-1.8437071,-0.64517075
1,0,-1.0732108,-2.8548346
1,0,-1.2059271,-2.2185285
1,0,-0.66640043,-0.019463439
1,0,-1.5911508,-1.3328664
1,0,-1.9767861,-2.0558333
1,0,-1.3364254,-0.5868478
1,0,-2.2219825,-1.4224449
1,0,-1.2210085,-0.49278352
1,0,-1.0111462,0.7676793
1,0,22.454884,-5.0037284
1,0,-0.39417452,2.0087938
1,0,0.8758997,2.1988857
1,0,37.151367,2.0407367
1,0,2.3858786,59.73311
1,0,-0.64251953,-0.38723606
1,0,-0.36822146,-1.3318269
1,0,-1.257089,-1.5299039
1,0,0.4489832,-2.4421532
1,0,1.6479784,4.0376353
1,0,-0.70872736,-0.026223535
1,0,-0.57885534,-0.9517854
1,0,-0.0930233,4.2660995
1,0,1.6952296,8.280433
1,0,0.5079535,1.00086
1,0,0.5575621,2.4312296
1,0,-1.0763077,0.11823888
1,0,-1.0356865,-1.5633633
1,0,-1.0065652,-1.8037591
1,0,-1.3494658,0.93385917
1,0,-0.9646601,-0.33017913
1,0,-1.353566,-0.7316844
1,0,-0.49413615,-2.340618
1,0,2.636848,59.135986
1,0,30.45819,-0.35528404
1,0,-1.0622475,4.048277
1,0,38.407417,-0.20072453
1,0,4.0652103,9.90502
1,0,-1.6611297,-1.5694842
1,0,29.234835,-1.4009491
1,0,0.27503133,2.502634
1,0,0.8677403,22.94321
1,0,7.1363673,-1.898927
1,0,7.769995,-3.7280035
1,0,-1.0904404,-1.5875409
1,0,-0.98097694,-0.5430888
1,0,37.29348,2.4495547
1,0,0.14231682,1.232605
1,0,-1.37888,-0.24087471
1,0,-1.6210558,-1.0063165
1,0,0.42692816,5.5675693
1,0,5.6366663,15.619383
1,0,23.158813,-5.0489507
1,0,-1.1531128,1.0507139
1,0,-1.4766911,-1.5620244
1,0,-0.782664,3.013472
1,0,-0.76547194,3.0959089
1,0,24.829744,0.05645987
1,0,0.1375333,1.1855164
1,0,17.28804,-4.2371783
1,0,-1.3026898,-0.7100218
1,0,-2.214291,-1.2631087
1,0,-0.3012703,-3.0127087
1,0,-1.0144055,-1.8010259
1,0,0.37149,1.0177978
1,0,-1.1652745,5.529297
1,0,-1.7266103,-0.7827234
1,0,-1.8853551,-0.44216245
1,0,-1.3742739,-1.508081
1,0,36.903473,1.457116
1,0,-1.1792741,-0.4365639
1,0,36.29802,15.902608
1,0,22.472055,-2.9765913
1,0,-1.5030468,-1.2066861
1,0,-1.5772927,-2.0330987
1,0,-1.4875889,-0.80824757
1,0,-2.2890887,-1.6783495
1,0,1.5039729,-0.75196016
1,0,-0.72017187,1.9046732
1,0,-1.2434798,-0.5021337
1,0,-0.034166813,-1.7262843
1,0,0.6273694,22.908447
1,0,0.8155104,23.053118
1,0,-0.9752755,-2.6717944
1,0,0.21830833,-2.0288098
1,0,-0.068843365,-2.0872114
1,0,-1.8849589,-1.9644938
1,0,-1.7957339,-1.8969474
1,0,-1.3069743,4.2208586
1,0,-1.133617,5.476543
1,0,1.3185107,22.375816
1,0,-2.6550455,-0.00142055
1,0,19.45708,-3.1521463
1,0,-1.7595929,-1.1577384
1,0,-1.2079241,0.09742345
1,0,-0.7904109,-2.182399
1,0,0.6708245,2.5372605
1,0,-0.85480434,3.8480659
1,0,0.5342996,1.013215
1,0,32.474876,10.380222
1,0,0.8631607,23.007977
1,0,0.75343144,23.57502
1,0,1.4025134,22.47202
1,0,-0.48741877,-3.1962323
1,0,-1.0908736,0.40342832
1,0,-1.4886974,0.10623856
1,0,1.3332998,22.44917
1,0,-1.2540382,-1.9370562
1,0,0.902496,15.4913435
1,0,0.66679406,19.702103
1,0,0.60450065,19.558449
1,0,-1.1323584,-1.0893042
1,0,-1.3935912,-1.4482195
1,0,-1.1432357,0.8719071
1,0,-0.8464172,-2.7748437
1,0,37.15994,1.853654
1,0,1.3786458,10.4737835
1,0,-1.3337753,-1.3654715
1,0,-0.9547625,-1.6230314
1,0,6.1451406,9.589148
1,0,0.756449,15.048723
1,0,27.475527,-7.127009
1,0,-0.9344121,-1.8175786
1,0,26.036673,3.1923373
1,0,-2.6566744,-0.0022751763
1,0,1.8899547,9.395417
1,0,2.4561782,13.924904
1,1,-1.1296306,-1.8252063
1,0,-1.7566831,-1.2067282
1,0,-1.3088275,-1.8464993
1,0,31.885035,-7.4309206
1,0,7.6868196,-3.2609613
1,0,21.338936,-4.685968
1,0,-1.233692,-1.3428472
1,0,-1.3015404,-1.4445215
1,0,-1.3492197,-1.4245594
1,0,3.7434855,-3.650616
1,0,-1.4151685,-1.4734894
1,0,-0.043620348,-1.6037252
1,0,-0.78284585,3.0475278
1,0,-0.78882384,2.9561424
1,0,0.97160685,2.531441
1,0,-2.4895782,-0.21244277
1,0,-1.4124794,-0.008628301
1,0,4.5204587,8.986356
1,0,-0.33457476,-0.55873126
1,0,0.6840267,8.880009
1,0,0.06660056,-0.4684867
1,0,-1.8118974,0.19602478
1,0,-1.1422721,5.4450803
1,0,-2.27986,-1.524169
1,0,4.1013455,-2.4250748
1,0,-1.1314765,-1.4798877
1,0,0.6984292,22.96404
1,0,-1.0183156,-1.7286981
1,0,-1.3759525,-2.151034
1,0,0.5867152,2.364119
1,0,-1.4308378,4.1864176
1,0,-0.8897524,-1.8072861
1,0,-1.3416111,-1.9698483
1,0,3.3739824,-3.2506459
1,0,-0.7408825,-1.8572844
1,0,0.68807805,0.24181071
1,0,4.187405,18.611828
1,0,-2.0745037,-1.6036144
1,0,2.5499587,59.85906
1,0,36.692078,-2.9247074
1,0,27.062695,-0.65571046
1,0,-1.8538365,-1.3540577
1,0,-1.6369674,1.2224056
1,0,-1.4170698,4.250106
1,0,-1.592081,-2.2570686
1,0,-0.8025681,-3.2928336
1,0,-2.0216944,0.19124395
1,0,0.63096833,2.2600503
1,0,5.441712,-0.1053853
1,0,-1.2018095,-1.4919063
1,0,30.914248,-0.15400901
1,0,-1.2843744,-1.0060282
1,0,-0.30614525,3.6344209
1,0,0.49767137,-0.44320467
1,0,-1.6552868,-1.666177
1,0,1.1447109,14.682749
1,0,-0.62586504,-1.9227501
1,0,-1.24055,-1.3777659
1,0,-1.0104061,-0.62842613
1,0,-1.6556064,-1.972123
1,0,-1.2789906,-0.5640122
1,0,-1.2532701,4.0564127
1,0,0.60067606,9.1546
1,0,-0.8399642,-2.6854296
1,0,-1.8271248,-2.1408846
1,0,-1.8498955,-1.5005392
1,0,-1.1248549,1.3650855
1,0,-0.7163321,3.0661597
1,0,25.295084,-3.7069798
1,0,36.247963,-1.9872547
1,0,-1.8212342,-0.8646194
1,0,-1.8278512,-1.7619311
1,0,-0.6208588,-3.4356086
1,0,6.7846723,2.412024
1,0,0.1802088,2.521478
1,0,-1.9407406,-1.9115481
1,0,-0.8958992,0.42607278
1,0,0.47989547,21.480833
1,0,0.87887895,23.161436
1,0,1.2053198,3.265167
1,0,2.5185246,-1.8395108
1,0,0.2519188,-1.9514765
1,0,-0.71788883,3.908753
1,0,-1.6446077,-1.8641517
1,0,-1.1292144,-2.2882504
1,0,28.55526,-3.611282
1,0,1.079084,25.644669
1,0,27.935791,-5.8241677
1,0,-1.0783256,-1.5620321
1,0,-1.7050736,-1.8832545
1,0,-1.5659885,-1.4377836
1,0,27.964674,-4.9290056
1,0,6.516918,-1.8972647
1,0,-1.6911902,-1.806964
1,0,-1.4589355,4.159461
1,0,30.907454,-0.15725057
1,0,-1.6666323,-1.1537727
1,0,-0.7336843,-2.808103
1,0,1.4025134,22.47202
1,0,-0.87191033,1.630172
1,0,-0.39148802,1.7411337
1,0,-1.6817741,-1.9716772
1,0,-0.6068426,-3.2689977
1,0,-0.7181911,-2.0711722
1,0,0.6623746,22.900223
1,0,-1.5312705,-0.7143819
1,0,-1.0107517,-0.5988943
1,0,-1.4763327,-2.489153
1,0,0.16853511,2.5184383
1,0,-0.7161168,-0.9442933
1,0,0.8385148,23.078884
1,0,0.6576779,22.950834
1,0,-1.1336188,5.4765368
1,0,-1.9364588,-0.79679453
1,0,-1.5968672,-1.4982476
1,0,-1.8447388,-1.8282901
1,0,1.3413206,22.116375
1,0,0.3022313,0.010533135
1,0,-1.2666736,1.8386796
1,0,-1.4241173,-1.4494352
1,0,-0.21768415,-0.39293066
1,0,-1.8933069,-1.1648555
1,0,33.627815,-1.2430195
1,0,4.128942,15.003307
1,0,0.24328935,-1.2810419
1,0,36.529457,-3.1796281
1,0,32.181152,-7.117865
1,0,0.6663741,19.702837
1,0,2.004058,17.131893
1,0,0.84768224,23.115612
1,0,0.76287496,23.174576
1,0,-1.7369049,-0.4613951
1,0,-2.1218243,-0.46233544
1,0,-1.025721,-2.6328819
1,0,-0.6566433,1.7459955
1,0,-1.4378738,1.6545819
1,0,-1.5786842,1.7940793
1,0,37.721478,4.2741733
1,0,-1.0344936,-1.515452
1,0,-1.2067553,-2.2100692
1,0,21.296991,-4.575765
1,0,-1.779089,-2.082996
1,0,-2.5440674,-1.2090782
1,0,2.2070422,58.01055
1,0,-0.62682724,-0.06492431
1,0,-1.6101214,1.121874
1,0,-1.4976802,-1.5995831
1,0,-1.4582919,-1.5252025
1,0,1.0261945,23.914576
1,0,36.62252,-3.1706955
1,0,-1.0974189,0.3382967
1,0,-1.6344466,-1.5621434
1,0,-1.2350057,-2.5537565
1,0,-1.1716912,0.678122
1,0,-1.8900063,-0.1754758
1,0,-1.5359906,-0.17934212
1,0,-2.3470175,-0.34777358
1,0,-1.6922314,-1.1995428
1,0,-1.4004449,-1.5832386
1,0,-1.3148103,-1.4895701
1,0,-1.570713,-1.566117
1,0,-1.4149436,-1.2644503
1,0,-1.1359174,-1.5893857
1,0,-1.4858236,4.259292
1,0,-1.4250019,-1.4831382
1,0,-1.1388597,4.1512136
1,0,-1.1312916,-2.3449044
1,0,-1.5607898,-1.2066363
1,0,-1.0798569,-2.2161813
1,0,-0.63767153,-1.3811771
1,0,15.830532,8.759515
1,0,2.99193,10.022419
1,0,-0.1176666,-2.109118
1,0,4.1576786,15.12213
1,0,31.39781,-1.652844
1,0,31.781115,-7.628507
1,0,-1.0078154,1.054079
1,0,-2.0470216,-0.43470755
1,0,-2.723216,-1.1211983
1,0,-1.1441857,4.2162795
1,0,34.27406,12.101445
1,0,37.76945,3.9296238
1,0,36.481052,-1.835828
1,0,36.338264,-1.945962
1,0,0.7574552,-1.8771632
1,0,-1.7500665,-1.1277261
1,0,32.289497,-0.14131472
1,0,0.80616593,9.438158
1,0,-1.0306801,1.8701091
1,0,-0.6917326,5.1835623
1,0,0.4174255,2.491679
1,0,-0.3568011,-3.3439717
1,0,-1.2640733,0.5192397
1,0,-0.2234993,-0.022042118
1,0,-0.8525778,-2.0054736
1,0,-0.9167985,1.3690474
1,0,-1.4759388,-1.5512985
1,0,-0.95084494,-1.6739655
1,0,2.7138643,54.26445
1,0,-1.7197181,-0.99714416
1,0,-2.290563,-0.25062945
1,0,-0.010556579,3.1022367
1,0,-1.2471994,2.044579
1,0,0.24122572,-2.8521166
1,0,-0.82281387,-2.4692204
1,0,-1.5596421,-1.2904693
1,0,1.3214058,9.069053
1,0,0.5919411,19.66581
1,0,-1.3321168,-0.97141355
1,0,0.14763987,5.258943
1,0,-0.40347093,2.2355726
1,0,25.965706,-3.762134
1,0,-1.2155753,-1.0425204
1,0,1.3636059,22.127415
1,0,6.021487,14.504108
1,0,-0.11762071,-0.28974664
1,0,-1.7908287,-1.8079098
1,0,-0.14447963,0.44360214
1,0,0.54542136,19.540724
1,0,-1.5983543,-0.9443836
1,0,-1.443383,-0.642897
1,0,-0.60367113,-1.8179762
1,0,36.05449,-3.7103286
1,0,-1.3393198,-0.7107215
1,0,31.955553,-7.410538
1,0,-2.6718419,-1.1801138
1,0,1.9216825,56.32229
1,0,-1.6097114,-0.5946078
1,0,5.400306,9.410995
1,0,31.463392,1.190185
1,0,30.709827,-1.3798409
1,0,0.2793858,1.124128
1,0,0.24778605,1.1771849
1,0,-0.957664,-1.7028941
1,0,-0.8467032,-0.5884969
1,0,1.059894,25.254477
1,0,1.8484083,52.896435
1,0,-1.4302633,-2.2691169
1,0,-1.2458888,-2.2558138
1,0,26.134462,-5.1509748
1,0,-1.2085159,-1.6338036
1,0,-1.2521625,-1.5579475
1,0,-0.46214473,-2.2621827
1,0,-1.2286613,-0.5587544
1,0,-1.3900284,-2.1029346
1,0,-1.8310254,-1.7697146
1,0,1.3465801,22.41001
1,0,-2.4737206,-0.2083766
1,0,32.40018,-6.8662205
1,0,-0.77142584,-1.6893295
1,0,-1.1025728,-1.5753297
1,0,21.5385,-3.715325
1,0,-0.95790976,-1.2028449
1,0,-0.32023382,2.7171166
1,0,2.735508,9.966253
1,0,1.4231399,27.04256
1,0,3.1838512,53.454456
1,0,36.564877,-2.4840167
1,0,36.86539,-3.216375
1,0,35.9438,-2.454143
1,0,-1.3922261,-1.2279555
1,0,-1.0731183,-1.942028
1,0,-0.8268377,-3.758898
1,0,-1.6946949,-0.54029655
1,0,-1.2162249,-1.4893715
1,0,-2.3122556,-0.8776212
1,0,-1.5605855,4.1957
1,0,-1.1373652,4.1504607
1,0,0.54278636,2.3524604
1,0,0.90983903,-2.4489145
1,0,19.776089,-4.957532
1,0,1.0456313,9.620835
1,0,0.6405256,9.153854
1,0,2.459086,9.459047
1,0,24.741035,-3.2062335
1,0,-1.2866348,-0.81348675
1,0,-1.5897624,-2.1525655
1,0,-0.71090996,1.0703692
1,0,-0.74476373,1.9455187
1,0,-1.5713819,-1.3503964
1,0,-1.6557729,-1.4236008
1,0,-1.4640416,-2.2501974
1,0,-0.65039504,-1.7434032
1,0,25.469864,-5.7313433
1,0,-1.6411371,4.183909
1,0,-1.1072707,5.488876
1,0,-0.8876049,-0.20974126
1,0,-1.6567363,-1.7618945
1,0,0.13063526,-0.27026406
1,0,0.38701403,1.0960964
1,0,0.52887046,1.0462188
1,0,5.477944,25.9356
1,0,1.1942071,15.24594
1,0,-0.9945694,-1.816719
1,0,-1.4605453,-1.2593197
1,0,-1.5261638,-1.7374257
1,0,-2.4518316,-0.04011338
1,0,2.8194432,9.351638
1,0,-1.9019766,-0.31727287
1,0,-2.121664,-0.4623117
1,0,0.28033674,-2.4850802
1,0,0.87862074,2.2633336
1,0,-0.6372907,2.8460815
1,0,-1.1530638,5.463149
1,0,37.18422,1.9459944
1,0,-1.8382719,-1.6112148
1,0,-0.9389463,-0.09890751
1,0,-0.962702,-1.0105189
1,0,-0.28963226,-2.3838553
1,0,24.435293,-4.87298
1,0,-1.7492807,-1.2207627
1,0,27.769344,-2.996619
1,0,3.9518504,-0.56408745
1,0,-1.4729259,-1.4481136
1,0,0.2769221,1.1253585
1,0,0.8016077,2.370683
1,0,0.7076324,2.2689211
1,0,-1.3929378,5.561116
1,0,1.2684852,14.901869
1,0,0.24666452,1.1774073
1,0,0.5092912,1.0006944
1,0,3.3413134,-3.111062
1,0,-1.1705155,4.203943
1,0,1.1439277,15.103196
1,0,-0.69911695,2.0837395
1,0,-1.2035881,0.98183113
1,0,-1.2300656,-1.7157632
1,0,0.80649793,14.455689
1,0,-1.7850139,-2.0213141
1,0,-1.2476901,-0.27518126
1,0,-1.033223,-2.0946498
1,0,-0.5773183,-0.830585
1,0,-1.7195206,-1.3447378
1,0,2.3161306,20.00143
1,0,-0.3652808,-2.8995306
1,0,-0.80857646,-1.4546089
1,0,1.0525373,21.280384
1,0,-1.6856537,-1.3444904
1,0,-1.0457244,-1.8964988
1,0,-1.1767848,-1.9608884
1,0,26.388985,-5.98576
1,0,-1.3167045,-0.47339174
1,0,-0.06797087,0.9760174
1,0,-2.311142,-0.3040421
1,0,-1.2022918,0.017321255
1,0,-1.1272218,-1.9418348
1,0,-0.5333763,-0.066410616
1,0,-0.5313475,-2.0137424
1,0,-1.2680492,-1.0812582
1,0,0.61247253,14.3406515
1,0,-2.7697663,-0.9864278
1,0,-1.003302,-3.2224658
1,0,-1.3152097,-0.1273205
1,0,-1.4566852,-0.6425925
1,0,31.614931,-7.304692
1,0,0.26140332,1.0470577
1,0,-1.128202,5.4435744
1,0,-1.2138852,-1.0195783
1,0,-1.6379309,-1.3904266
1,0,-1.0144484,0.7097645
1,0,1.0238589,2.5071037
1,0,3.9449959,-3.6035857
1,0,2.7443147,-3.4312942
1,0,0.75753474,23.175943
1,0,32.955853,10.296711
1,0,1.1162993,9.899664
1,0,-1.18816,-0.13639812
1,0,-1.822365,-1.6386747
1,1,-1.4078064,-1.9659566
1,0,0.21773946,1.1501794
1,0,36.46031,-2.6363142
1,0,0.4566046,2.245141
1,0,1.6740283,9.58299
1,0,0.8192196,23.060354
1,0,4.923702,-1.478348
1,0,-1.2830781,-0.46494815
1,0,-0.8472842,-1.4184916
1,0,-0.8856614,-2.7249525
1,0,-1.5775838,-1.9844736
1,0,-0.7503915,1.1005666
1,0,-0.89599127,1.8627079
1,0,-1.1867273,-0.28740904
1,0,0.63193536,-1.25155
1,0,-1.8025997,-1.81139
1,0,0.022934914,1.0264405
1,0,0.8596089,2.330293
1,0,-1.3949039,4.1710916
1,0,-1.2632676,-0.11124529
1,0,-1.4875803,4.1323147
1,0,26.67891,-3.047075
1,0,32.016285,-7.31702
1,1,-2.0333486,-0.21919054
1,0,29.529028,-5.746408
1,0,-1.9557376,-1.575288
1,0,1.0312797,21.306986
1,0,-0.70938194,-3.2701118
1,0,22.585016,-6.0267415
1,0,2.1859183,3.196641
1,0,0.892701,2.2773545
1,0,3.3392148,-0.50050724
1,0,-1.659117,2.4197116
1,0,32.641865,-6.5562387
1,0,-0.8164721,5.338645
1,0,-0.57409024,-3.0251667
1,0,-1.8165019,-0.91040593
1,0,-1.2289283,-1.678503
1,0,-0.3484115,-1.3016125
1,0,-0.9787061,-1.6989707
1,0,-1.7771229,-1.2486937
1,0,4.943319,10.977819
1,0,1.6545583,-2.351642
1,0,-2.2904668,-0.2506382
1,0,-1.8840985,-0.69748235
1,0,-1.2961605,4.1548824
1,0,-0.83439595,5.4550424
1,0,37.28328,2.5996687
1,0,-1.8167645,-0.8114454
1,0,-1.7297034,-0.63361704
1,0,-0.4094084,-2.545501
1,0,16.775887,-3.7834263
1,0,-1.250297,-0.5035707
1,0,-1.764961,-1.9427338
1,0,36.679253,-2.9785798
1,0,-0.4418183,-2.8929927
1,0,-1.1594316,-1.5974963
1,0,-1.4845024,-1.3160589
1,0,36.49207,-2.4080994
1,0,-0.51638323,-1.9514624
1,0,0.8531196,-2.2982159
1,0,-1.2940674,-1.4098144
1,0,-1.0208206,5.112307
1,0,-0.7388258,2.6152039
1,0,-0.63595945,-2.0905905
1,0,-1.2159889,-1.6351242
1,0,-1.8049445,-1.902873
1,0,-1.2246065,-1.7280178
1,0,-0.6069415,4.7505164
1,0,-0.73937094,1.606784
1,0,-1.023619,-2.5146286
1,0,-1.5435729,-0.032536257
1,0,35.98997,-3.531997
1,0,-0.41564626,-2.7549362
1,0,8.936422,-4.1617765
1,0,0.5499886,1.0915215
1,0,-1.4697555,4.2254133
1,0,-0.84541285,-0.60268867
